TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
WaterBalance	Runoff_co	Potential runoff coefficient	none	SUR_MR	-9999	0.3	RC	1	0.5	Y
WaterBalance	Clay	Clay proportion	%	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	CN2	Curve number in condition II	none	ALL	-9999	0.8	RC	1.3	0.7	Y
WaterBalance	Conductivity	Soil hydraulic conductivity	mm/hr	ALL	-9999	0.6	RC	10	0.1	Y
WaterBalance	Density	Soil bulk density	mg/cm3	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	Depre_in	Initial depression storage coefficient	none	ALL	0.2	0	AC	1	0	Y
WaterBalance	Depression	Depression storage capacity	mm	ALL	-9999	1	RC	5	0.5	Y
WaterBalance	Fieldcap	Soil field capacity	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	K_run	Runoff exponent when net rainfall approaches to zero	none	SUR_MR	2.5	0	AC	5	0	Y
WaterBalance	k_soil10	ratio between soil temperature at 10 cm and the mean	none	STP_FP	1	0	AC	3	0	Y
WaterBalance	Moist_in	Initial soil moisture	m3/m3	ALL	-9999	1	RC	1	0.8	Y
WaterBalance	P_max	Maximum rainfall intensity when k_run = 1.0	mm	SUR_MR	30	0	AC	60	10	Y
WaterBalance	Poreindex	Pore size distribution index	none	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	Porosity	Soil porosity	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	pot_k	hydraulic conductivity of soil surface of pothole	mm/hr	IMP_SWAT	0.1	0	AC	10	0.01	Y
WaterBalance	Residual	soil residual moisture	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	Rootdepth	Root depth	m	ALL	-9999	1	RC	1.5	0.2	Y
WaterBalance	rv_co	Groundwater revap coefficient	none	GW_RSVR	0	0	AC	0.2	0	Y
WaterBalance	s_frozen	Frozen moisture relative to porosity with no infiltration	none	ALL	0.5	0	AC	1	0.1	Y
WaterBalance	Sand	Sand proportion	%	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	Slope	Slope	%	ALL	-9999	1	RC	1.1	0.9	Y
WaterBalance	soil_t10	soil temperature relative to short grass cover	deg C	STP_FP	-9999	1	RC	2	0	Y
WaterBalance	soil_ta0	Empirical coefficient for estimating soil temperature	deg C	STP_FP	4.768	0	AC	10	0	Y
WaterBalance	soil_ta1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.174	0	AC	1	0	Y
WaterBalance	soil_ta2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.163	0	AC	1	0	Y
WaterBalance	soil_ta3	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.223	0	AC	1	0	Y
WaterBalance	soil_tb1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	-1.361	0	AC	0	-5	Y
WaterBalance	soil_tb2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	-3.762	0	AC	0	-5	Y
WaterBalance	soil_td1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.057	0	AC	1	0	Y
WaterBalance	soil_td2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.339	0	AC	1	0	Y
WaterBalance	soiltemp0	Initial soil temperature	deg C	SOI_EB	-9999	1	RC	1.2	0.8	Y
WaterBalance	t_soil	Soil freezing temperature	deg C	ALL	-5	0	AC	0	-15	Y
WaterBalance	Wiltingpoint	Plant wilting point moisture	m3/m3	ALL	-9999	1	RC	1.2	0.8	Y
WaterBalance	Density	Soil bulk density	mg/cm3	ALL	-9999	1.2	RC	1.2	0.8	Y
